pd_id,party_clf_pdid
pd-100506128476925-1,DEM
pd-100509168245156-1,DEM
pd-100509391797592-1,DEM
pd-100509956719852-3,DEM
pd-100511511768138-1,DEM
pd-100513001691753-1,DEM
pd-100520590337668-2,DEM
pd-100526208293245-1,REP
pd-1005263149506969-1,DEM
pd-1005266326190949-2,DEM
pd-100527858304852-2,REP
pd-100530350036102-1,REP
pd-100535101485050-1,DEM
pd-1005375366176173-1,DEM
pd-1005375366176173-3,DEM
pd-100538078072208-1,DEM
pd-100541775020769-1,DEM
pd-100543348159482-2,DEM
pd-100543878456307-1,REP
pd-100543878456307-2,REP
pd-100545244879235-1,REP
pd-100546168455089-1,REP
pd-100548655137797-1,REP
pd-100550118163465-1,DEM
pd-100551214884717-2,DEM
pd-100552925014483-1,DEM
pd-1005566252861190-6,DEM
pd-100556838454730-1,REP
pd-100556838454730-2,REP
pd-100557528464214-1,REP
pd-100560691319046-1,REP
pd-100560691319046-2,REP
pd-100560711450721-1,REP
pd-100560711450721-2,REP
pd-100560947959353-1,DEM
pd-100562019990818-3,REP
pd-100562195176282-1,DEM
pd-100562741502487-1,DEM
pd-100566731426931-1,OTHER
pd-100566741824119-1,DEM
pd-100567394775326-2,DEM
pd-100576815143042-2,REP
pd-1005788692880881-1,DEM
pd-1005788692880881-3,DEM
pd-100579177991814-1,DEM
pd-100580921557876-1,DEM
pd-100582725110739-1,REP
pd-100584338501529-1,DEM
pd-100585318107139-2,DEM
pd-100588931643943-1,DEM
pd-100591464867125-1,REP
pd-100591581698087-1,DEM
pd-100591581698087-2,DEM
pd-100597835018144-1,DEM
pd-100600601598507-2,DEM
pd-100602891453608-1,DEM
pd-100604641504806-1,DEM
pd-100606771657216-1,DEM
pd-100606998137328-2,DEM
pd-100607841717573-1,DEM
pd-100608787966502-1,DEM
pd-100609191787271-1,REP
pd-100613871612784-1,REP
pd-100614208414328-1,DEM
pd-100615428465192-1,DEM
pd-100621735170941-1,DEM
pd-100621928469297-1,DEM
pd-100632458399089-1,DEM
pd-100632698451078-1,DEM
pd-100637788001003-1,REP
pd-100638637982216-1,DEM
pd-100639478025484-1,DEM
pd-100641371470298-1,DEM
pd-100641391759409-1,DEM
pd-100645541728080-1,DEM
pd-100647415058056-1,DEM
pd-100647415058056-2,DEM
pd-100651304999744-2,DEM
pd-100656834660976-1,REP
pd-100659698411003-2,REP
pd-100662288470064-1,DEM
pd-100664898090963-1,DEM
pd-100665248461692-1,DEM
pd-100665498267332-1,REP
pd-100668474871421-1,REP
pd-100669191309756-1,OTHER
pd-100677831564350-1,DEM
pd-100681181778155-1,DEM
pd-100683301630987-1,REP
pd-100686074700899-1,DEM
pd-100686108109966-1,DEM
pd-100687541509730-2,DEM
pd-100692068471118-1,REP
pd-100696194942652-1,REP
pd-100696924867495-1,REP
pd-100697795009189-1,DEM
pd-100698604854437-1,DEM
pd-100698604854437-2,DEM
pd-100701061678027-1,REP
pd-100705488028873-1,DEM
pd-100705788238486-1,DEM
pd-100706621747718-1,DEM
pd-100709834782461-1,DEM
pd-100719625004234-1,DEM
pd-100719625004234-2,DEM
pd-100721221427071-2,DEM
pd-100722328329613-1,DEM
pd-100722588135068-1,REP
pd-100723505074238-1,REP
pd-100724721707100-1,DEM
pd-100724721707100-2,REP
pd-100728821544877-1,REP
pd-100731391690171-1,DEM
pd-100731551753169-1,REP
pd-100731654977518-1,DEM
pd-100735615003345-1,DEM
pd-100738081431797-1,DEM
pd-100740713805855-2,DEM
pd-100745679654-1,DEM
pd-100745681764144-1,REP
pd-100753978079700-2,REP
pd-100757521655204-1,REP
pd-100759775163228-1,REP
pd-100765221381239-1,DEM
pd-100766921498654-1,REP
pd-100767931575188-1,DEM
pd-100767931575188-2,DEM
pd-100771498467776-1,DEM
pd-100772434991956-1,DEM
pd-100776045100923-1,REP
pd-100777721402092-1,REP
pd-100778331787787-1,DEM
pd-1007855922605367-2,REP
pd-100787471467527-1,DEM
pd-100792848235808-2,DEM
pd-100793738121279-1,DEM
pd-100794248139278-1,REP
pd-100794418063163-1,DEM
pd-100797521596859-1,DEM
pd-100797638444040-1,REP
pd-100797638444040-2,REP
pd-100801338115610-1,REP
pd-100802165113155-1,DEM
pd-1008033952552086-1,DEM
pd-100812611274768-2,DEM
pd-100814311563647-1,DEM
pd-100818081774760-1,DEM
pd-100818691659922-1,REP
pd-100820178149376-2,REP
pd-100821338289859-1,DEM
pd-100827828000518-1,DEM
pd-100829047113-3,DEM
pd-100829408201568-1,DEM
pd-100832791504681-1,REP
pd-100835678228518-1,DEM
pd-100837755122106-1,DEM
pd-100837844754859-2,DEM
pd-100838531505554-1,DEM
pd-100845288067737-1,DEM
pd-100848701755987-1,DEM
pd-100851121660299-1,DEM
pd-100857228331847-1,REP
pd-100859528408131-1,DEM
pd-100863158148988-1,DEM
pd-100863428439078-1,REP
pd-100863428439078-2,REP
pd-100866168200122-1,DEM
pd-100866168200122-2,REP
pd-100866921755481-1,REP
pd-100868181770837-1,DEM
pd-100869218120035-1,REP
pd-100872105028876-1,DEM
pd-100872105028876-2,DEM
pd-100872105028876-3,DEM
pd-100872191359973-1,DEM
pd-100873035088172-1,DEM
pd-100874024777082-2,DEM
pd-100874963287771-1,REP
pd-100878834895044-1,DEM
pd-100882346667-2,DEM
pd-100884558195771-1,REP
pd-100884558195771-2,REP
pd-100885098025939-1,REP
pd-100885748306219-1,REP
pd-100885748306219-2,REP
pd-100890288406901-1,REP
pd-100895271302505-1,DEM
pd-100897534631778-1,DEM
pd-100900511418971-1,OTHER
pd-100901094851044-1,DEM
pd-100902511562722-1,DEM
pd-100904525042282-3,DEM
pd-100906464971207-1,DEM
pd-100906591716189-1,REP
pd-100907651494467-1,DEM
pd-100910491745994-1,DEM
pd-100911595107040-1,DEM
pd-100916641281547-1,DEM
pd-100921535039507-1,DEM
pd-100922788056678-1,DEM
pd-100926135067368-1,REP
pd-100928350251-2,DEM
pd-100929481572633-1,REP
pd-100931158434092-1,DEM
pd-100932388109855-1,REP
pd-100939574634205-1,DEM
pd-100946314961832-1,REP
pd-100947184674211-1,DEM
pd-100950704816839-1,REP
pd-100951398448314-1,DEM
pd-100951398448314-2,DEM
pd-100952961297591-1,OTHER
pd-100954994730021-1,DEM
pd-100955728459513-1,DEM
pd-100957515147703-1,DEM
pd-100958191701518-1,DEM
pd-100969075095884-1,DEM
pd-100970501612434-2,DEM
pd-1009706125739165-2,DEM
pd-100971398471843-1,REP
pd-100973705068602-1,DEM
pd-100974008209400-2,REP
pd-100976135057802-1,DEM
pd-100986511540893-1,DEM
pd-100987785088412-2,REP
pd-100988621745741-2,REP
pd-100992351742569-1,DEM
pd-100994503327232-5,DEM
pd-100999494600040-1,REP
pd-101002098187530-1,DEM
pd-101006321430325-1,REP
pd-101018201484271-1,DEM
pd-101018201484271-2,DEM
pd-101024841520424-1,REP
pd-101026774863684-2,OTHER
pd-101027441342731-2,REP
pd-101034564947848-1,DEM
pd-101034564947848-2,DEM
pd-1010353059061123-1,DEM
pd-101036314906500-1,DEM
pd-101036868441463-1,REP
pd-101036904592085-1,DEM
pd-101038674974780-1,REP
pd-101038828382052-1,REP
pd-101039564776820-2,DEM
pd-101043001435602-2,DEM
pd-101046684627296-1,REP
pd-101052724914617-1,REP
pd-101053808127961-1,DEM
pd-101054091704453-1,DEM
pd-101055861586818-2,DEM
pd-101057358107875-1,REP
pd-101060758443809-1,REP
pd-101065085085433-1,REP
pd-101066314873699-1,DEM
pd-101067888349610-1,OTHER
pd-101069998395509-1,DEM
pd-101070254772112-1,DEM
pd-101075798356272-1,REP
pd-101078061426955-1,DEM
pd-101078304817321-3,REP
pd-101080714884609-1,REP
pd-101086828359956-1,REP
pd-101095093776751-4,DEM
pd-101095093776751-6,DEM
pd-101102105035048-1,DEM
pd-1011045795683585-2,REP
pd-101107438285177-2,REP
pd-101109304959657-1,DEM
pd-101111468144111-1,DEM
pd-101113248319461-1,DEM
pd-101121941614539-1,DEM
pd-101124285081266-1,DEM
pd-101126661624135-1,DEM
pd-101126661624135-2,DEM
pd-101127364972509-1,DEM
pd-101128228361042-2,DEM
pd-101132441642343-1,DEM
pd-101133998171476-1,DEM
pd-101136608299310-1,DEM
pd-101140321795250-1,DEM
pd-101143617942555-1,DEM
pd-101144691549454-1,DEM
pd-101144914978701-1,DEM
pd-1011501478897516-1,DEM
pd-1011517188962934-2,DEM
pd-101151797906783-1,REP
pd-101153195089594-1,REP
pd-101153328279337-2,REP
pd-101155604875600-1,DEM
pd-101155798181750-1,DEM
pd-101156308292355-1,REP
pd-101158291379822-1,DEM
pd-1011605295608680-1,DEM
pd-101164484986617-1,REP
pd-101165966152-1,DEM
pd-101165966152-2,DEM
pd-101172781333187-1,REP
pd-101174331629641-1,DEM
pd-101174474685204-1,DEM
pd-101176014673943-1,DEM
pd-101180218364519-1,DEM
pd-101181331380813-1,DEM
pd-101181331380813-2,DEM
pd-101181584780300-1,REP
pd-101183127996396-2,DEM
pd-101184844812145-1,DEM
pd-101185721482040-1,REP
pd-101190384761353-1,DEM
pd-101190628284383-1,DEM
pd-101203418418760-1,REP
pd-101204778208257-1,DEM
pd-101208151786499-1,DEM
pd-1012140768828824-1,REP
pd-101215271720918-1,DEM
pd-101220308024830-1,REP
pd-101223001667651-1,DEM
pd-101225254847586-1,DEM
pd-101229485069553-1,DEM
pd-1012300488970739-2,DEM
pd-101230638280585-1,DEM
pd-101231248215069-1,DEM
pd-101231248215069-2,REP
pd-101233108091840-2,DEM
pd-101234173264456-2,REP
pd-101235345004925-1,DEM
pd-101236998300720-1,OTHER
pd-101238441473432-2,REP
pd-101242428235649-1,DEM
pd-101242788363101-1,REP
pd-101242881236945-2,DEM
pd-101244894740138-1,DEM
pd-101245861572668-1,DEM
pd-101246991753159-1,DEM
pd-101248848348677-1,REP
pd-101249788345603-1,DEM
pd-101251045101558-1,REP
pd-101252208408663-1,DEM
pd-101253264757513-1,DEM
pd-101253597603-1,REP
pd-101259545014580-1,OTHER
pd-101262805033743-1,DEM
pd-1012679305536045-3,DEM
pd-101273575063417-1,DEM
pd-101278694809805-1,DEM
pd-1012788115447711-2,DEM
pd-101279451606075-1,DEM
pd-101280487986208-2,DEM
pd-101281925020337-1,DEM
pd-101285161455772-1,REP
pd-101285694978304-1,DEM
pd-101286161432946-1,DEM
pd-101286555029358-1,DEM
pd-101295517956158-1,DEM
pd-101296211450543-1,DEM
pd-101300361570120-1,DEM
pd-101301864984288-1,DEM
pd-101312518359916-1,DEM
pd-101312791652138-1,DEM
pd-101322021378611-1,REP
pd-101322081505050-1,DEM
pd-101323634863440-1,REP
pd-101328821594509-1,DEM
pd-101329141719185-1,REP
pd-101331784823473-3,REP
pd-101335748285042-1,DEM
pd-1013391422160726-2,REP
pd-1013391422160726-3,REP
pd-101339541691040-1,REP
pd-101339958052011-1,DEM
pd-101340647941724-1,DEM
pd-101344288163860-1,REP
pd-101344558026560-1,REP
pd-101344661551391-1,REP
pd-101348975102081-1,REP
pd-101348988354616-1,DEM
pd-101351348287235-1,REP
pd-101353637876673-1,REP
pd-101359058120591-1,DEM
pd-101359811498192-1,DEM
pd-101361741648559-1,DEM
pd-101362971700535-1,DEM
pd-101363598257915-1,DEM
pd-101365768142333-1,DEM
pd-101366834743111-3,DEM
pd-101369804938510-1,REP
pd-101371194806860-1,REP
pd-101371694978068-1,DEM
pd-101375378378423-1,DEM
pd-101376975079811-1,REP
pd-101377135010262-1,REP
pd-101379001722400-1,REP
pd-101379254731717-1,REP
pd-101379387974501-1,REP
pd-101392395072228-2,REP
pd-101393328153933-1,DEM
pd-101396368395480-1,DEM
pd-101397261607932-1,DEM
pd-101401774817087-1,DEM
pd-101403475022418-1,REP
pd-101403571593709-1,DEM
pd-101411961738121-1,REP
pd-101412864930050-1,DEM
pd-101414365050095-1,DEM
pd-101416868349151-1,DEM
pd-101418304869160-2,REP
pd-101418304869160-3,DEM
pd-101420381658477-1,DEM
pd-101420868073823-1,DEM
pd-101426054611958-2,DEM
pd-101432825019214-1,DEM
pd-101433511404945-1,REP
pd-101434364933742-1,REP
pd-101436054800664-1,REP
pd-101436405038048-2,REP
pd-101441738377355-1,REP
pd-101444051729528-1,REP
pd-101450118347672-1,REP
pd-101450424780739-1,DEM
pd-101453161277280-1,REP
pd-101455881684536-1,DEM
pd-10145842306-3,REP
pd-101459351485507-1,REP
pd-101460394643345-2,DEM
pd-101461041720991-1,DEM
pd-101461559911714-2,REP
pd-101464334859450-1,REP
pd-101464921262312-1,DEM
pd-101465001418097-1,DEM
pd-101465437995369-1,DEM
pd-101466225075156-1,REP
pd-1014664075269537-2,DEM
pd-101467758423386-1,REP
pd-101475448330850-2,DEM
pd-101477354869563-1,REP
pd-101481584557260-2,DEM
pd-101485734711187-1,DEM
pd-101485931485408-1,DEM
pd-10148632367-1,REP
pd-101487585033774-1,DEM
pd-101491475027021-1,REP
pd-101492371756069-1,DEM
pd-101494185042975-1,DEM
pd-101500764797503-1,REP
pd-10150100007820094-2,DEM
pd-10150117105250068-1,REP
pd-10150127026615249-1,REP
pd-10150157803280161-4,DEM
pd-101503087896019-1,DEM
pd-101504705039260-1,DEM
pd-101515581472164-1,DEM
pd-101517715011649-1,DEM
pd-101523218128133-1,REP
pd-101525434671590-1,DEM
pd-101525641704169-1,DEM
pd-101526568256693-1,DEM
pd-101526731656341-3,REP
pd-101527008242756-1,DEM
pd-101534765033902-1,REP
pd-101536768123944-1,REP
pd-101537178075656-1,REP
pd-101542234564883-1,DEM
pd-101544111679373-1,REP
pd-101544271458111-1,DEM
pd-101544271458111-2,DEM
pd-101548718024873-1,DEM
pd-101549324596032-1,DEM
pd-101553461388827-1,REP
pd-101553758210575-2,DEM
pd-101553991315236-1,DEM
pd-101554558258653-1,DEM
pd-101555208177402-1,REP
pd-101560341295658-1,DEM
pd-101574025015329-1,DEM
pd-101575038360158-1,DEM
pd-101576624784862-1,DEM
pd-101577497939821-1,REP
pd-101583424567044-1,DEM
pd-101583424567044-2,DEM
pd-101586094554056-1,DEM
pd-101587915013557-1,REP
pd-101589521232053-1,DEM
pd-101590094812653-1,DEM
pd-101591204987294-1,DEM
pd-101591551371555-1,DEM
pd-101594477880533-1,DEM
pd-101598991668421-1,DEM
pd-101599205003087-1,DEM
pd-101599774968168-1,DEM
pd-101604387990736-1,REP
pd-101610975016043-1,DEM
pd-101612951684961-1,DEM
pd-101612951684961-2,REP
